time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-20 23:45:00,EURUSD,1.14129,1.14143,1.14128,1.14137,100.0,1,pat_harami=100,0,0,0,0,100,0,0,0
2026-07-21 00:00:00,EURUSD,1.1409,1.1414,1.14088,1.1413,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 00:15:00,EURUSD,1.1413,1.14143,1.141,1.14106,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 00:30:00,EURUSD,1.14105,1.14129,1.14086,1.14095,-100.0,-1,pat_shooting_star=-100,0,0,0,-100,0,0,0,0
2026-07-21 00:45:00,EURUSD,1.14095,1.14099,1.14089,1.14092,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 01:00:00,EURUSD,1.14104,1.14123,1.14101,1.14121,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 01:15:00,EURUSD,1.14122,1.14128,1.14115,1.1412,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 01:30:00,EURUSD,1.14119,1.14123,1.14114,1.14121,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-21 01:45:00,EURUSD,1.14121,1.14136,1.14121,1.14131,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 02:00:00,EURUSD,1.14131,1.14137,1.14125,1.14136,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 02:15:00,EURUSD,1.14136,1.14141,1.14127,1.14131,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-21 02:30:00,EURUSD,1.14131,1.14137,1.14129,1.14131,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-21 02:45:00,EURUSD,1.14131,1.14162,1.1413,1.14158,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 03:00:00,EURUSD,1.14159,1.14184,1.14153,1.1416,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-21 03:15:00,EURUSD,1.1416,1.14162,1.14121,1.14129,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-21 03:30:00,EURUSD,1.14128,1.14144,1.14115,1.14142,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-21 03:45:00,EURUSD,1.14142,1.14162,1.14131,1.14133,-100.0,-1,pat_shooting_star=-100,0,0,0,-100,0,0,0,0
2026-07-21 04:00:00,EURUSD,1.14133,1.14155,1.14122,1.14132,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
