2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.66000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61426, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28321, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40994, atr=0.00104643, signal=hold
2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.65000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61427, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28322, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40990, atr=0.00104643, signal=hold
2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.65000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61427, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28322, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40990, atr=0.00104643, signal=hold
2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.65000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61427, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28322, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40990, atr=0.00104643, signal=hold
2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.65000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61427, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28322, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40990, atr=0.00104643, signal=hold
2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:09:30 Features for USDJPY.r: price=147.25200, atr=0.22028571, signal=hold
2025.04.10 03:09:30 Features for XAUUSD.r: price=3083.64000, atr=7.92285714, signal=hold
2025.04.10 03:09:30 Features for AUDUSD.r: price=0.61427, atr=0.00113214, signal=hold
2025.04.10 03:09:30 Features for GBPUSD.r: price=1.28322, atr=0.00127714, signal=hold
2025.04.10 03:09:30 Features for USDCAD.r: price=1.40991, atr=0.00104643, signal=hold
2025.04.10 03:11:42 Features for EURUSD.r: price=1.09540, atr=0.00086786, signal=hold
2025.04.10 03:11:42 Features for USDJPY.r: price=147.35100, atr=0.22028571, signal=hold
2025.04.10 03:11:42 Features for XAUUSD.r: price=3085.98000, atr=7.92285714, signal=hold
2025.04.10 03:11:42 Features for AUDUSD.r: price=0.61440, atr=0.00113214, signal=hold
2025.04.10 03:11:42 Features for GBPUSD.r: price=1.28278, atr=0.00127714, signal=hold
2025.04.10 03:11:42 Features for USDCAD.r: price=1.41013, atr=0.00104643, signal=hold
2025.04.10 03:11:42 Features for EURUSD.r: price=1.09540, atr=0.00086786, signal=hold
2025.04.10 03:11:42 Features for USDJPY.r: price=147.35100, atr=0.22028571, signal=hold
2025.04.10 03:11:42 Features for XAUUSD.r: price=3085.98000, atr=7.92285714, signal=hold
2025.04.10 03:11:42 Features for AUDUSD.r: price=0.61440, atr=0.00113214, signal=hold
2025.04.10 03:11:42 Features for GBPUSD.r: price=1.28278, atr=0.00127714, signal=hold
2025.04.10 03:11:42 Features for USDCAD.r: price=1.41013, atr=0.00104643, signal=hold
2025.04.10 03:11:42 Features for EURUSD.r: price=1.09539, atr=0.00086786, signal=hold
2025.04.10 03:11:42 Features for USDJPY.r: price=147.35100, atr=0.22028571, signal=hold
2025.04.10 03:11:42 Features for XAUUSD.r: price=3085.90000, atr=7.92285714, signal=hold
2025.04.10 03:11:42 Features for AUDUSD.r: price=0.61439, atr=0.00113214, signal=hold
2025.04.10 03:11:42 Features for GBPUSD.r: price=1.28277, atr=0.00127714, signal=hold
2025.04.10 03:11:42 Features for USDCAD.r: price=1.41012, atr=0.00104643, signal=hold
2025.04.10 03:15:41 Features for EURUSD.r: price=1.09571, atr=0.00081643, signal=hold
2025.04.10 03:15:41 Features for USDJPY.r: price=147.33100, atr=0.20671429, signal=hold
2025.04.10 03:15:41 Features for XAUUSD.r: price=3086.21000, atr=6.94571429, signal=hold
2025.04.10 03:15:41 Features for AUDUSD.r: price=0.61503, atr=0.00101143, signal=hold
2025.04.10 03:15:41 Features for GBPUSD.r: price=1.28337, atr=0.00114214, signal=hold
2025.04.10 03:15:41 Features for USDCAD.r: price=1.40973, atr=0.00089500, signal=hold
2025.04.10 03:15:42 Features for EURUSD.r: price=1.09571, atr=0.00081643, signal=hold
2025.04.10 03:15:42 Features for USDJPY.r: price=147.33100, atr=0.20671429, signal=hold
2025.04.10 03:15:42 Features for XAUUSD.r: price=3086.21000, atr=6.94571429, signal=hold
2025.04.10 03:15:42 Features for AUDUSD.r: price=0.61503, atr=0.00101143, signal=hold
2025.04.10 03:15:42 Features for GBPUSD.r: price=1.28337, atr=0.00114214, signal=hold
2025.04.10 03:15:42 Features for USDCAD.r: price=1.40973, atr=0.00089500, signal=hold
2025.04.10 03:15:42 Features for EURUSD.r: price=1.09571, atr=0.00081643, signal=hold
2025.04.10 03:15:42 Features for USDJPY.r: price=147.33100, atr=0.20671429, signal=hold
